AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
4;4;4;5;4;4;4;5;4;4;2;3;5;4;2;2;5;2;5;5;4;4;3;5;86;44;49;49;440;6;0;0;25-34;2;Nie;C;C
2;4;4;4;5;4;5;5;5;5;3;3;5;3;2;2;3;1;3;3;4;5;3;3;63;36;48;24;418;5;1;0;35-44;2;Nie;B;C
5;5;5;5;5;4;5;5;5;4;2;5;5;4;4;5;5;4;5;5;5;5;4;5;78;57;51;52;421;33;0;1;55-64;1;Nie;A;D
2;2;2;2;2;1;2;4;4;3;1;1;1;4;1;1;2;2;1;1;2;3;1;1;135;98;125;58;899;40;1;0;65+;1;Tak;B;C
4;3;3;4;4;4;4;4;3;2;4;4;4;3;3;3;3;3;5;4;4;4;4;3;87;54;73;34;463;40;1;0;55-64;1;Nie;C;D
4;5;3;4;3;5;5;5;3;3;3;3;5;3;4;2;4;2;2;2;4;5;3;2;39;47;38;19;351;10;1;0;35-44;2;Nie;C;C
4;4;4;4;4;4;4;4;2;2;3;4;4;4;3;2;4;4;3;2;4;4;4;3;56;32;40;32;369;35;1;0;55-64;1;Tak;A;C
5;4;5;5;5;5;5;5;4;4;3;5;5;5;4;5;5;3;5;5;5;5;5;5;53;38;53;44;410;21;0;1;45-54;2;Nie;A;B
5;4;2;3;3;3;3;2;2;5;4;5;4;3;3;3;3;4;5;4;3;3;4;4;83;71;63;81;649;12;0;1;18-24;2;Nie;A;C
4;4;4;4;3;5;5;5;3;5;3;1;1;1;1;2;4;3;5;4;4;5;1;4;106;60;84;64;572;1;0;1;25-34;2;Nie;C;B
4;5;5;4;4;4;4;4;4;3;3;3;4;4;2;4;4;1;4;4;4;4;3;4;91;65;60;48;620;32;0;1;55-64;1;Nie;C;A
4;4;4;4;5;5;5;5;4;4;4;3;4;4;3;4;4;4;4;4;4;5;4;4;53;36;46;25;365;5;1;0;25-34;1;Nie;C;C
2;4;3;3;3;4;4;5;4;3;3;3;4;3;3;3;4;4;3;4;3;4;3;4;132;80;98;74;759;14;0;0;35-44;1;Nie;C;C
5;5;5;5;5;5;5;5;5;4;4;3;5;5;3;5;5;4;1;1;5;5;4;4;100;67;66;31;571;36;0;0;55-64;1;Tak;A;D
2;4;4;4;3;4;4;4;4;3;2;4;4;4;3;4;4;3;3;2;4;4;4;3;54;28;54;20;327;6;0;1;25-34;2;Nie;C;C
1;3;2;2;2;4;2;3;2;1;3;3;2;3;4;3;2;3;2;4;2;2;3;3;91;53;66;43;546;27;0;0;45-54;2;Nie;B;D
5;4;5;3;5;1;4;2;4;2;4;2;4;4;4;3;5;4;2;3;5;2;4;3;64;33;45;55;423;47;0;1;65+;1;Nie;A;B
